anonId,printer,count,classes
job-df2555de1b,LG-640,6,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-fa1da0ad82,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-ee83ea3510,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-2f3e7a8e8a,LG-640,4,CANCELED;FAILED;LG640_CMYK_ONLY
job-fa1da0ad82,LG-640,2,CANCELED
job-ee83ea3510,LG-640,2,CANCELED
job-2f3e7a8e8a,LG-640,4,CANCELED;DUPLICATE_SUMMARY;FAILED;LG640_GLOSS_ONLY
job-fa1da0ad82,LG-640,2,CANCELED
job-ee83ea3510,LG-640,2,CANCELED
job-2f3e7a8e8a,LG-640,4,CANCELED
job-2f3e7a8e8a,LG-640,4,CANCELED;FAILED;LG640_CMYK_ONLY
job-198583076a,LG-640,3,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-dd91adb17f,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-1b073e1661,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-9fcfa6a535,LG-640,8,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-7a3e003c9c,LG-640,2,OTHER_EVENT:New Job(Main Que)
job-1b073e1661,LG-640,4,CANCELED
job-198583076a,LG-640,4,CANCELED
job-dd91adb17f,LG-640,4,CANCELED
job-2f3e7a8e8a,LG-640,4,CANCELED
job-9fcfa6a535,LG-640,8,CANCELED;FAILED
job-1b073e1661,LG-640,4,CANCELED
job-198583076a,LG-640,4,CANCELED
job-dd91adb17f,LG-640,4,CANCELED
job-2f3e7a8e8a,LG-640,4,CANCELED
job-9fcfa6a535,LG-640,8,CANCELED;FAILED
job-b4acdb4536,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e809f290dd,LG-640,3,DUPLICATE_SUMMARY;LG640_CMYK_ONLY
job-b4acdb4536,LG-640,2,OTHER_EVENT:Print Start
job-b4acdb4536,LG-640,2,OTHER_EVENT:Print Start
job-e809f290dd,LG-640,4,LG640_CMYK_ONLY;OTHER_EVENT:Print Start
job-339376879a,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-3c4741f6dc,LG-640,4,OTHER_EVENT:New Job(Main Que)
job-a62143e834,LG-640,3,OTHER_EVENT:New Job(Main Que)
job-339376879a,LG-640,3,OTHER_EVENT:New Job(Main Que)
job-a012d4ae2c,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
